建物名,住所,総戸数,種別,用途,緯度,経度
グランドヒルズ荒川,東京都荒川区荒川3-20-5,32,賃貸,apartments,35.7362,139.7833
日暮里ハウジング,東京都荒川区東日暮里5-14-2,48,賃貸,housing,,
サンライトマンション荒川,東京都荒川区荒川6-11-3,28,分譲,マンション,,
コーポ東尾久,東京都荒川区東尾久2-4-16,12,賃貸,アパート,,
都営南千住住宅,東京都荒川区南千住5-20-1,120,,集合住宅,,
西日暮里共同住宅,東京都荒川区西日暮里3-18-7,16,賃貸,共同住宅,,
上野桜木アパートメント,東京都台東区上野桜木2-15-6,24,賃貸,apartments,,
佐藤邸,東京都荒川区町屋5-2-1,,,house,,
西尾久の一戸建て,東京都荒川区西尾久1-10-2,,,detached,,
尾久ツインハウス,東京都荒川区東尾久5-7-3,,,semidetached_house,,
町屋テラスハウス,東京都荒川区町屋6-3-9,6,分譲,terrace,,
日暮里ドミトリー,東京都荒川区東日暮里5-30-1,48,,dormitory,,
荒川第一社宅,東京都荒川区荒川8-1-2,40,,社宅,,
田中様邸,東京都荒川区西尾久4-8-11,,,戸建て,,
谷中の一軒家,東京都台東区谷中3-11-2,,,一軒家,,
町屋長屋,東京都荒川区町屋7-4-3,4,,長屋,,
町屋ショッピングセンター,東京都荒川区町屋2-1-1,,,commercial,,
南千住ドラッグストア,東京都荒川区南千住7-1-1,,,retail,,
町屋銀座ストア,東京都荒川区町屋1-19-2,,,店舗,,
店舗付きマンション日暮里,東京都荒川区東日暮里3-30-1,18,賃貸,店舗付きマンション,,
日暮里オフィスタワー,東京都荒川区東日暮里5-1-1,,,office,,
荒川区役所別館,東京都荒川区荒川2-2-3,,,事務所,,
東日暮里製作所,東京都荒川区東日暮里2-33-8,,,factory,,
東尾久金属工業,東京都荒川区東尾久7-11-4,,,工場,,
荒川物流センター,東京都荒川区荒川7-2-4,,,warehouse,,
南千住倉庫3号棟,東京都荒川区南千住8-12-1,,,倉庫,,
荒川第二小学校,東京都荒川区荒川4-14-1,,,school,,
南千住総合病院,東京都荒川区南千住2-9-6,,,hospital,,
日暮里クリニックビル,東京都荒川区東日暮里6-22-9,,,病院,,
町屋パーキング,東京都荒川区町屋3-5-5,,,garage,,
西尾久駐車場,東京都荒川区西尾久8-3-1,,,駐車場,,
南千住レジデンス,東京都荒川区南千住4-3-2,,,residential,,
西日暮里A棟,東京都荒川区西日暮里2-25-4,,,yes,,
荒川メゾンひぐらし,東京都荒川区荒川1-7-8,,,,,
山田ビル,東京都荒川区町屋4-2-8,,,,,
住所が無い建物,,10,賃貸,apartments,,
